,timestamp_UTC,timestamp_UK,ov_MW,cons_MW,site_MW,settlement_price,export_costs,import_costs,energy_mwh,soc,charge,discharge,action,wholesale,import,export,wholesale_bess,import_bess,export_bess,wholesale_added,import_added,export_added
0,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00,0.0,1,-1.0,2.703,-1,71,4.0,50.0,0.0,0.0,0.0,-1.3515,-35.5,-0.0,-1.3515,-35.5,-0.0,0.0,0.0,0.0
1,2025-01-01 00:30:00+00:00,2025-01-01 00:30:00,0.0,1,-1.0,2.703,-1,71,4.0,50.0,0.0,0.0,0.0,-1.3515,-35.5,-0.0,-1.3515,-35.5,-0.0,0.0,0.0,0.0
2,2025-01-01 01:00:00+00:00,2025-01-01 01:00:00,0.0,1,-1.0,4.3945,-1,71,4.0,50.0,0.0,1.0,1.0,-2.19725,-35.5,-0.0,0.0,0.0,-0.0,2.19725,35.5,0.0
3,2025-01-01 01:30:00+00:00,2025-01-01 01:30:00,0.0,1,-1.0,4.3945,-1,71,3.4729537,43.41192125,0.0,1.0,1.0,-2.19725,-35.5,-0.0,0.0,0.0,-0.0,2.19725,35.5,0.0
4,2025-01-01 02:00:00+00:00,2025-01-01 02:00:00,0.0,1,-1.0,0.1105,-1,71,2.9459074,36.8238425,0.0,0.0,0.0,-0.05525,-35.5,-0.0,-0.05525,-35.5,-0.0,0.0,0.0,0.0
5,2025-01-01 02:30:00+00:00,2025-01-01 02:30:00,0.0,1,-1.0,0.1105,-1,71,2.9459074,36.8238425,0.0,0.0,0.0,-0.05525,-35.5,-0.0,-0.05525,-35.5,-0.0,0.0,0.0,0.0
6,2025-01-01 03:00:00+00:00,2025-01-01 03:00:00,0.0,1,-1.0,-4.2330000000000005,-1,71,2.9459074,36.8238425,0.96841456,0.0,-0.96841456,2.1165000000000003,-35.5,-0.0,4.166149416240001,-69.87871688,-0.0,2.0496494162400003,-34.37871688,0.0
7,2025-01-01 03:30:00+00:00,2025-01-01 03:30:00,0.0,1,-1.0,-4.2330000000000005,-1,71,3.4052668,42.565835,0.0,0.0,0.0,2.1165000000000003,-35.5,-0.0,2.1165000000000003,-35.5,-0.0,0.0,0.0,0.0
8,2025-01-01 04:00:00+00:00,2025-01-01 04:00:00,0.0,1,-1.0,-4.845,-1,71,3.4052668,42.565835,2.0,0.0,-2.0,2.4225,-35.5,-0.0,7.2675,-106.5,-0.0,4.845000000000001,-71.0,0.0
9,2025-01-01 04:30:00+00:00,2025-01-01 04:30:00,0.0,1,-1.0,-4.845,-1,71,4.3539501,54.424376249999995,2.0,0.0,-2.0,2.4225,-35.5,-0.0,7.2675,-106.5,-0.0,4.845000000000001,-71.0,0.0
10,2025-01-01 05:00:00+00:00,2025-01-01 05:00:00,0.0,1,-1.0,-5.0915,-1,71,5.3026334,66.28291750000001,2.0,0.0,-2.0,2.54575,-35.5,-0.0,7.63725,-106.5,-0.0,5.0915,-71.0,0.0
11,2025-01-01 05:30:00+00:00,2025-01-01 05:30:00,0.0,1,-1.0,-5.0915,-1,71,6.2513167,78.14145875,2.0,0.0,-2.0,2.54575,-35.5,-0.0,7.63725,-106.5,-0.0,5.0915,-71.0,0.0
12,2025-01-01 06:00:00+00:00,2025-01-01 06:00:00,0.0,1,-1.0,-3.3915,-10,80,7.2,90.0,0.0,0.0,0.0,1.69575,-40.0,-0.0,1.69575,-40.0,-0.0,0.0,0.0,0.0
