,timestamp_UTC,timestamp_UK,ov_MW,cons_MW,site_MW,settlement_price,export_costs,import_costs,energy_mwh,soc,charge,discharge,action,wholesale,import,export,wholesale_bess,import_bess,export_bess,wholesale_added,import_added,export_added
0,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00,0.0,1,-1.0,45.356,-1,71,2.0,50.0,0.0,1.0,1.0,-22.678,-35.5,-0.0,0.0,0.0,-0.0,22.678,35.5,0.0
1,2026-01-01 00:30:00+00:00,2026-01-01 00:30:00,0.0,1,-1.0,45.356,-1,71,1.4729537,36.8238425,0.0,1.0,1.0,-22.678,-35.5,-0.0,0.0,0.0,-0.0,22.678,35.5,0.0
2,2026-01-01 01:00:00+00:00,2026-01-01 01:00:00,0.0,1,-1.0,39.2105,-1,71,0.94590745,23.64768625,0.0,1.0,1.0,-19.60525,-35.5,-0.0,0.0,0.0,-0.0,19.60525,35.5,0.0
3,2026-01-01 01:30:00+00:00,2026-01-01 01:30:00,0.0,1,-1.0,39.2105,-1,71,0.41886117,10.47152925,0.0,0.035786554,0.035786554,-19.60525,-35.5,-0.0,-18.9036456621915,-34.229577333,-0.0,0.7016043378085008,1.2704226669999983,0.0
4,2026-01-01 02:00:00+00:00,2026-01-01 02:00:00,0.0,1,-1.0,28.288,-1,71,0.4,10.0,0.0,0.0,0.0,-14.144,-35.5,-0.0,-14.144,-35.5,-0.0,0.0,0.0,0.0
5,2026-01-01 02:30:00+00:00,2026-01-01 02:30:00,0.0,1,-1.0,28.288,-1,71,0.4,10.0,0.0,0.0,0.0,-14.144,-35.5,-0.0,-14.144,-35.5,-0.0,0.0,0.0,0.0
6,2026-01-01 03:00:00+00:00,2026-01-01 03:00:00,0.0,1,-1.0,20.638,-1,71,0.4,10.0,0.0,0.0,0.0,-10.319,-35.5,-0.0,-10.319,-35.5,-0.0,0.0,0.0,0.0
7,2026-01-01 03:30:00+00:00,2026-01-01 03:30:00,0.0,1,-1.0,20.638,-1,71,0.4,10.0,0.0,0.0,0.0,-10.319,-35.5,-0.0,-10.319,-35.5,-0.0,0.0,0.0,0.0
8,2026-01-01 04:00:00+00:00,2026-01-01 04:00:00,0.0,1,-1.0,10.9055,-1,71,0.4,10.0,0.74619234,0.0,-0.74619234,-5.45275,-35.5,-0.0,-9.521550281935,-61.989828069999994,-0.0,-4.068800281934999,-26.489828069999994,0.0
9,2026-01-01 04:30:00+00:00,2026-01-01 04:30:00,0.0,1,-1.0,10.9055,-1,71,0.75395011,18.84875275,2.0,0.0,-2.0,-5.45275,-35.5,-0.0,-16.358249999999998,-106.5,-0.0,-10.905499999999998,-71.0,0.0
10,2026-01-01 05:00:00+00:00,2026-01-01 05:00:00,0.0,1,-1.0,8.33,-1,71,1.7026334,42.565835,2.0,0.0,-2.0,-4.165,-35.5,-0.0,-12.495000000000001,-106.5,-0.0,-8.330000000000002,-71.0,0.0
11,2026-01-01 05:30:00+00:00,2026-01-01 05:30:00,0.0,1,-1.0,8.33,-1,71,2.6513167,66.28291750000001,2.0,0.0,-2.0,-4.165,-35.5,-0.0,-12.495000000000001,-106.5,-0.0,-8.330000000000002,-71.0,0.0
12,2026-01-01 06:00:00+00:00,2026-01-01 06:00:00,0.0,1,-1.0,15.164,-10,80,3.6,90.0,0.0,0.0,0.0,-7.582,-40.0,-0.0,-7.582,-40.0,-0.0,0.0,0.0,0.0
